PROVIDER_ID,Std_Outcomes_Mortality_score,Std_Outcomes_Readmission_score,Std_Outcomes_Safety_score,Std_PatientExp_score,Std_Process_score,std_weight_PatientExperience,std_weight_Readmission,std_weight_Mortality,std_weight_safety,std_weight_Process,weight_PatientExperience,weight_Outcomes_Readmission,weight_Outcomes_Mortality,weight_Outcomes_Safety,weight_Process,summary_score,Outcomes_Mortality_cnt,Outcomes_safety_cnt,Outcomes_Readmission_cnt,Patient_Experience_cnt,Process_cnt,Total_measure_group_cnt,MortSafe_Group_cnt,report_indicator,cnt_grp,star
210002,-0.623360255,-0.660196642,-0.779639008,0.138181731,-1.14485889,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.560886185,7,7,10,8,8,5,2,1,3) # of groups=5,2
210003,0.808159724,-0.6529171,-1.029012659,-2.48765118,-1.256077633,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.890241983,7,6,8,8,7,5,2,1,3) # of groups=5,1
210004,-0.078291507,-0.789832827,-0.871877204,-1.203745418,-0.164961488,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.667419709,6,8,8,8,5,5,2,1,3) # of groups=5,2
210005,0.14030688,0.4680313,-0.175846588,0.151625303,0.272891729,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.161252725,6,7,10,8,8,5,2,1,3) # of groups=5,4
210006,-0.471840087,-0.274748047,-1.260800803,-1.360708521,-0.872663871,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.845701105,5,5,8,8,7,5,2,1,3) # of groups=5,1
210008,0.775622872,0.071221162,0.064592901,0.592524639,-0.45265423,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.276553039,6,8,9,8,6,5,2,1,3) # of groups=5,4
210009,0.401141641,-0.417815168,0.110041599,0.687954961,-1.029517466,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.048348971,7,7,10,8,5,5,2,1,3) # of groups=5,4
210011,-0.714024663,-0.038700403,-0.134668109,-1.208413303,0.396498933,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.413497553,6,7,10,8,4,5,2,1,3) # of groups=5,2
210012,-0.142991296,0.540202756,-0.549986746,-1.044540136,-0.600846521,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.335510976,7,8,11,8,5,5,2,1,3) # of groups=5,3
210013,-0.179191517,-0.659496926,1.273545037,,-0.493582417,0.22,0.22,0.22,0.22,0.12,,0.282051282,0.282051282,0.282051282,0.153846154,0.046716104,3,3,4,0,1,3,2,1,1) # of groups=3,3
210015,-0.447053818,-0.972297678,-0.248648105,-0.367281523,-0.297538302,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.483466443,6,8,10,8,7,5,2,1,3) # of groups=5,2
210016,0.404246716,0.470427487,-0.404308269,-0.828315961,-0.619938154,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.153141584,7,7,9,8,7,5,2,1,3) # of groups=5,3
210017,-0.221158379,0.167828536,0.261250122,1.019039041,0.09944585,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.281864552,4,3,9,8,7,5,2,1,3) # of groups=5,4
210018,0.102642911,0.814266242,0.456473986,-1.347619849,-0.141888951,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.01135875,5,6,10,8,7,5,2,1,3) # of groups=5,3
210019,-0.216812371,-0.367523663,0.345276702,0.074495837,-0.107866349,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.049147931,7,7,11,8,7,5,2,1,3) # of groups=5,3
210022,0.662409709,-0.178055483,0.134187486,-0.686956302,-0.001082081,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.01518106,7,7,9,8,4,5,2,1,3) # of groups=5,3
210023,-0.426724033,-0.04829742,0.397402496,0.077888636,0.240183912,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.028881399,6,8,10,8,9,5,2,1,3) # of groups=5,4
210024,1.369266292,0.914245606,0.460732542,0.121712161,-0.315917728,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.592600325,7,6,9,8,5,5,2,1,3) # of groups=5,5
210027,-0.40992016,-0.536795551,-0.525758279,-0.148549335,-0.244930263,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.386016763,7,7,11,8,7,5,2,1,3) # of groups=5,2
210028,-0.595063841,0.302052403,0.481479537,-0.080937215,-0.027599641,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.020344838,6,6,10,8,6,5,2,1,3) # of groups=5,4
210029,-0.250328135,-0.734567565,-0.073761575,-0.177477756,-1.458488479,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.446968324,6,7,10,8,6,5,2,1,3) # of groups=5,2
210030,0.296542245,0.576716132,0.993515298,,-1.252741175,0.22,0.22,0.22,0.22,0.12,,0.282051282,0.282051282,0.282051282,0.153846154,0.333796497,3,3,9,0,6,4,2,1,2) # of groups=4,4
210032,-1.062801061,0.134103888,0.330723374,-1.568114848,-0.11049613,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.489799038,5,5,10,8,5,5,2,1,3) # of groups=5,2
